"","Country","Year","Code","Region","Income_Group","Pov_1.90","Pov_3.20","Pov_5.50","GDP_Pc","Private_Credit","Mean_Inc","Gov_Cons","Expenses","Inflation","Gini","Exports","Imports","Pop_Growth","Schooling","ATM","Bank_Acc","Bank_Branch"
"49","Cuba","1960","CUB","Latin America & Caribbean","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91788846328196,NA,NA,NA,NA
"50","Curacao","1960","CUW","Latin America & Caribbean","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735720160079068,NA,NA,NA,NA
"51","Cayman Islands","1960","CYM","Latin America & Caribbean","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.51059211310763,NA,NA,NA,NA
"52","Cyprus","1960","CYP","Europe & Central Asia","High income",NA,NA,NA,NA,38.8855,NA,NA,NA,NA,NA,NA,NA,1.04359880111487,NA,NA,NA,NA
"53","Czech Republic","1960","CZE","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30650778470364,NA,NA,NA,NA
"54","Germany","1960","DEU","Europe & Central Asia","High income",NA,NA,NA,NA,41.7659,NA,NA,NA,NA,NA,NA,NA,0.782668663977047,NA,NA,NA,NA
"55","Djibouti","1960","DJI","Middle East & North Africa","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93092141522027,NA,NA,NA,NA
"56","Dominica","1960","DMA","Latin America & Caribbean","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83133434023019,NA,NA,NA,NA
"57","Denmark","1960","DNK","Europe & Central Asia","High income",NA,NA,NA,21075.5995160095,28.379,NA,13.5172539826829,NA,NA,NA,32.3104590449343,34.3218143874702,0.665278655311212,NA,NA,NA,NA
"58","Dominican Republic","1960","DOM","Latin America & Caribbean","Upper middle income",NA,NA,NA,1326.90528171989,5.45116,NA,13.3105353854263,NA,NA,NA,25.5948954171157,18.8132148185075,3.37393911494688,NA,NA,NA,NA
"59","Algeria","1960","DZA","Middle East & North Africa","Upper middle income",NA,NA,NA,2466.03823773921,NA,NA,26.6654194665797,NA,NA,NA,39.043172595018,67.1436317062962,2.51143394573168,NA,NA,NA,NA
"60","East Asia & Pacific (excluding high income)","1960","EAP",NA,NA,NA,NA,NA,288.76467039082,NA,NA,12.560693113481,NA,NA,NA,7.68380703276032,7.41698514165851,NA,NA,NA,NA,NA
"61","Early-demographic dividend","1960","EAR",NA,NA,NA,NA,NA,1126.55653364153,NA,NA,9.27049075197316,NA,NA,NA,11.7322728106861,13.2158674550744,NA,NA,NA,NA,NA
"62","East Asia & Pacific","1960","EAS",NA,NA,NA,NA,NA,1283.90806792145,NA,NA,12.2524027111707,NA,NA,NA,11.0024717064411,11.853710918648,NA,NA,NA,NA,NA
"63","Europe & Central Asia (excluding high income)","1960","ECA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Europe & Central Asia","1960","ECS",NA,NA,NA,NA,NA,NA,NA,NA,13.8823169404924,NA,NA,NA,19.4213061400428,19.5439449480716,NA,NA,NA,NA,NA
"65","Ecuador","1960","ECU","Latin America & Caribbean","Upper middle income",NA,NA,NA,2237.08185171574,19.5614,NA,8.86943259941439,NA,NA,NA,9.54757459967307,10.3640719922139,2.82597464778689,NA,NA,NA,NA
"66","Egypt","1960","EGY","Middle East & North Africa","Lower middle income",NA,NA,NA,570.557419694086,17.9211,NA,15.5720917531404,NA,NA,NA,19.8661933369743,21.8255051884216,2.75588830190902,NA,NA,NA,NA
"67","Euro area","1960","EMU",NA,NA,NA,NA,NA,10808.5238639548,NA,NA,13.9266270578068,NA,NA,NA,18.5490054062931,18.1596883527336,NA,NA,NA,NA,NA
"68","Eritrea","1960","ERI","Sub-Saharan Africa","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40546009616963,NA,NA,NA,NA
"69","Spain","1960","ESP","Europe & Central Asia","High income",NA,NA,NA,7359.96778939152,NA,NA,8.99186118911402,NA,NA,NA,8.36673049275204,6.90132215909331,1.11957174190474,NA,NA,NA,NA
"70","Estonia","1960","EST","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.668324362004474,NA,NA,NA,NA
"71","Ethiopia","1960","ETH","Sub-Saharan Africa","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2335803585265,NA,NA,NA,NA
"72","European Union","1960","EUU",NA,NA,NA,NA,NA,10056.1888296495,NA,NA,14.5402894753407,NA,NA,NA,19.4140993922004,19.4708329554763,NA,NA,NA,NA,NA
"73","Fragile and conflict affected situations","1960","FCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Finland","1960","FIN","Europe & Central Asia","High income",NA,NA,NA,12195.3280642679,36.2422,NA,12.1884198116579,NA,NA,NA,21.1097159608398,22.2407505421844,0.780665602982706,NA,NA,NA,NA
"75","Fiji","1960","FJI","East Asia & Pacific","Upper middle income",NA,NA,NA,1774.20573816305,NA,NA,12.219730941704,NA,NA,NA,38.1165919282511,39.9103139013453,3.34339270477404,NA,NA,NA,NA
"76","France","1960","FRA","Europe & Central Asia","High income",NA,NA,NA,12991.2677157891,20.6047,NA,16.6821018887526,NA,NA,NA,14.3962825606565,12.5691723938445,1.22961003712654,NA,NA,NA,NA
"77","Faroe Islands","1960","FRO","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36234369967164,NA,NA,NA,NA
"78","Micronesia","1960","FSM","East Asia & Pacific","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21942408859357,NA,NA,NA,NA
"79","Gabon","1960","GAB","Sub-Saharan Africa","Upper middle income",NA,NA,NA,4377.37600884907,8.21622,NA,9.77962571722125,NA,NA,NA,34.1709866594221,32.6272095196205,0.892015955604106,NA,NA,NA,NA
"80","United Kingdom","1960","GBR","Europe & Central Asia","High income",NA,NA,NA,13827.4496385702,17.3389,NA,16.6593798818617,NA,NA,NA,20.20795819176,21.5926924218601,0.346128869787339,NA,NA,NA,NA
"81","Georgia","1960","GEO","Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8437529183647,NA,NA,NA,NA
"82","Ghana","1960","GHA","Sub-Saharan Africa","Lower middle income",NA,NA,NA,1053.28024598936,4.55798,NA,10.0115074798619,NA,NA,NA,28.1933256616801,35.4430379746835,3.16121598838949,NA,NA,NA,NA
"83","Gibraltar","1960","GIB","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13923378151533,NA,NA,NA,NA
"84","Guinea","1960","GIN","Sub-Saharan Africa","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56938319825434,NA,NA,NA,NA
"85","Gambia","1960","GMB","Sub-Saharan Africa","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.02411249448704,NA,NA,NA,NA
"86","Guinea-Bissau","1960","GNB","Sub-Saharan Africa","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2455392382056,NA,NA,NA,NA
"87","Equatorial Guinea","1960","GNQ","Sub-Saharan Africa","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46849108984747,NA,NA,NA,NA
"88","Greece","1960","GRC","Europe & Central Asia","High income",NA,NA,NA,6779.88678295592,13.1602,NA,10.1703398377362,NA,NA,NA,8.51179975791386,16.1592313895872,0.722756593436363,NA,NA,NA,NA
"89","Grenada","1960","GRD","Latin America & Caribbean","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81566959785394,NA,NA,NA,NA
"90","Greenland","1960","GRL","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0053059457378,NA,NA,NA,NA
"91","Guatemala","1960","GTM","Latin America & Caribbean","Lower middle income",NA,NA,NA,1461.76234556511,10.2347,NA,7.6561908447864,NA,NA,NA,12.6389433345097,14.5362221671351,2.96030495263815,NA,NA,NA,NA
"92","Guam","1960","GUM","East Asia & Pacific","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69691517499727,NA,NA,NA,NA
"93","Guyana","1960","GUY","Latin America & Caribbean","Upper middle income",NA,NA,NA,1698.54549916469,11.2406,NA,11.4461960246744,NA,NA,NA,48.7320082248115,56.9568197395476,3.14917697957288,NA,NA,NA,NA
"94","High income","1960","HIC",NA,NA,NA,NA,NA,11709.4581770778,NA,NA,14.1993295440478,NA,NA,NA,12.7891877594216,13.0179485760912,NA,NA,NA,NA,NA
"95","Hong Kong","1960","HKG","East Asia & Pacific","High income",NA,NA,NA,NA,NA,NA,7.81918330940152,NA,NA,NA,0,0,4.45099050762392,NA,NA,NA,NA
"96","Honduras","1960","HND","Latin America & Caribbean","Lower middle income",NA,NA,NA,1095.99040533319,9.99519,NA,11.0680768657828,NA,NA,NA,21.3913302547296,23.0299419037688,2.80781442354155,NA,NA,NA,NA
"97","Heavily indebted poor countries (HIPC)","1960","HPC",NA,NA,NA,NA,NA,622.877760087816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Croatia","1960","HRV","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623145252882135,NA,NA,NA,NA
"99","Haiti","1960","HTI","Latin America & Caribbean","Low income",NA,NA,NA,1018.21280387951,1.47548,NA,NA,NA,NA,NA,NA,NA,1.96060845978278,NA,NA,NA,NA
"100","Hungary","1960","HUN","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26750579682728,NA,NA,NA,NA
"101","IBRD only","1960","IBD",NA,NA,NA,NA,NA,1088.25276715404,NA,NA,11.262094285279,NA,NA,NA,9.43052439987383,9.95613885275536,NA,NA,NA,NA,NA
"102","IDA & IBRD total","1960","IBT",NA,NA,NA,NA,NA,1016.70581443889,NA,NA,11.2155563321099,NA,NA,NA,9.68640349706966,10.3839125034874,NA,NA,NA,NA,NA
"103","IDA total","1960","IDA",NA,NA,NA,NA,NA,635.676034862668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","IDA blend","1960","IDB",NA,NA,NA,NA,NA,827.547437144544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Indonesia","1960","IDN","East Asia & Pacific","Lower middle income",NA,NA,NA,690.042850090801,NA,NA,11.5581752947207,NA,NA,NA,11.5325474115838,12.5576627370579,2.62028392027315,NA,NA,NA,NA
"106","IDA only","1960","IDX",NA,NA,NA,NA,NA,564.141373067895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Isle of Man","1960","IMN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.906248175126679,NA,NA,NA,NA
"108","India","1960","IND","South Asia","Lower middle income",NA,NA,NA,304.231892516897,8.51409,NA,6.57613888578354,NA,NA,NA,4.51004475733941,6.90979952297875,1.94699298702626,NA,NA,NA,NA
"109","Not classified","1960","INX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Ireland","1960","IRL","Europe & Central Asia","High income",NA,NA,NA,NA,32.7353,NA,13.1255910555802,NA,NA,NA,29.5267298120521,35.2734074383765,-0.280698792339815,NA,NA,NA,NA
"111","Iran","1960","IRN","Middle East & North Africa","Upper middle income",NA,NA,NA,2980.57649901955,NA,NA,10.5171409976044,NA,NA,NA,13.8490784641022,17.3884632111512,2.57255099361187,NA,NA,NA,NA
"112","Iraq","1960","IRQ","Middle East & North Africa","Upper middle income",NA,NA,NA,NA,8.61313,NA,NA,NA,NA,NA,NA,NA,2.4193711785391,NA,NA,NA,NA
"113","Iceland","1960","ISL","Europe & Central Asia","High income",NA,NA,NA,NA,47.6327,NA,10.7716295391288,NA,NA,NA,41.2824471671217,45.5532462716083,1.79532670743216,NA,NA,NA,NA
"114","Israel","1960","ISR","Middle East & North Africa","High income",NA,NA,NA,8749.05784405139,14.9208,NA,12.0261689436213,NA,NA,NA,11.9107177217626,11.121801039061,3.74672254423519,NA,NA,NA,NA
"115","Italy","1960","ITA","Europe & Central Asia","High income",NA,NA,NA,10867.7036593658,NA,NA,14.2233743901763,NA,NA,NA,12.4974832046447,12.863109936847,1.99392840634543,NA,NA,NA,NA
"116","Jamaica","1960","JAM","Latin America & Caribbean","Upper middle income",NA,NA,NA,NA,15.2012,NA,7.16271081418992,NA,NA,NA,33.2421181182296,38.0508435371343,1.20663501856488,NA,NA,NA,NA
"117","Jordan","1960","JOR","Middle East & North Africa","Upper middle income",NA,NA,NA,NA,16.1139,NA,NA,NA,NA,NA,NA,NA,5.21745668634681,NA,NA,NA,NA
"118","Japan","1960","JPN","East Asia & Pacific","High income",NA,NA,NA,8607.65708226596,55.5173,NA,11.4640224093017,NA,NA,NA,10.7229408129351,10.2879603876459,0.889609025572938,NA,NA,NA,NA
"119","Kazakhstan","1960","KAZ","Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44251665974235,NA,NA,NA,NA
"120","Kenya","1960","KEN","Sub-Saharan Africa","Lower middle income",NA,NA,NA,538.431772114148,NA,NA,10.9591495841468,NA,NA,NA,31.095746519435,33.6701045439883,3.06884040058783,NA,NA,NA,NA
"121","Kyrgyz Republic","1960","KGZ","Europe & Central Asia","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06201026888836,NA,NA,NA,NA
"122","Cambodia","1960","KHM","East Asia & Pacific","Lower middle income",NA,NA,NA,NA,NA,NA,18.834079118824,NA,NA,NA,13.9013451044662,21.97309252951,2.54317622435859,NA,NA,NA,NA
"123","Kiribati","1960","KIR","East Asia & Pacific","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4377380831799,NA,NA,NA,NA
"124","St. Kitts and Nevis","1960","KNA","Latin America & Caribbean","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.436540867674721,NA,NA,NA,NA
"125","Korea Rep.","1960","KOR","East Asia & Pacific","High income",NA,NA,NA,944.292448347174,11.2072,NA,14.237111751521,NA,NA,NA,2.62167787383926,11.9796669868716,2.90725172474126,NA,NA,NA,NA
"126","Kuwait","1960","KWT","Middle East & North Africa","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2978088177063,NA,NA,NA,NA
"127","Latin America & Caribbean (excluding high income)","1960","LAC",NA,NA,NA,NA,NA,3385.39708333437,NA,NA,10.8422991239725,NA,NA,NA,11.1368541191751,10.9341557132083,NA,NA,NA,NA,NA
"128","Lao PDR","1960","LAO","East Asia & Pacific","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29870181874722,NA,NA,NA,NA
"129","Lebanon","1960","LBN","Middle East & North Africa","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25268364668329,NA,NA,NA,NA
"130","Liberia","1960","LBR","Sub-Saharan Africa","Low income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15377186498978,NA,NA,NA,NA
"131","Libya","1960","LBY","Middle East & North Africa","Upper middle income",NA,NA,NA,NA,11.6496,NA,NA,NA,NA,NA,NA,NA,3.28425254250962,NA,NA,NA,NA
"132","St. Lucia","1960","LCA","Latin America & Caribbean","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.953394092111903,NA,NA,NA,NA
"133","Latin America & Caribbean","1960","LCN",NA,NA,NA,NA,NA,3677.4826802684,NA,NA,10.7391685934718,NA,NA,NA,11.1247230246716,11.7208159968314,NA,NA,NA,NA,NA
"134","Least developed countries: UN classification","1960","LDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Low income","1960","LIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Liechtenstein","1960","LIE","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26244284177144,NA,NA,NA,NA
"137","Sri Lanka","1960","LKA","South Asia","Lower middle income",NA,NA,NA,NA,7.24361,NA,13.5773446580241,NA,NA,NA,29.9532498882432,32.9126434212487,2.39459255899738,NA,NA,NA,NA
"138","Lower middle income","1960","LMC",NA,NA,NA,NA,NA,555.130465488553,NA,NA,8.92810911723934,NA,NA,NA,9.9531839305166,12.1319388260653,NA,NA,NA,NA,NA
"139","Low & middle income","1960","LMY",NA,NA,NA,NA,NA,926.974701372386,NA,NA,11.2718710464078,NA,NA,NA,9.62561085533878,10.2931585075037,NA,NA,NA,NA,NA
"140","Lesotho","1960","LSO","Sub-Saharan Africa","Lower middle income",NA,NA,NA,254.59308016504,NA,NA,16.5991902834008,NA,NA,NA,11.7408906882591,38.4615384615385,1.66624146124852,NA,NA,NA,NA
"141","Late-demographic dividend","1960","LTE",NA,NA,NA,NA,NA,942.565783674173,NA,NA,12.8209304095278,NA,NA,NA,8.43357868184545,8.69118617283124,NA,NA,NA,NA,NA
"142","Lithuania","1960","LTU","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55001939038899,NA,NA,NA,NA
"143","Luxembourg","1960","LUX","Europe & Central Asia","High income",NA,NA,NA,27085.591034599,53.627,NA,10.2260033867087,NA,NA,NA,88.7112058832051,69.0369299416367,0.787241986189745,NA,NA,NA,NA
"144","Latvia","1960","LVA","Europe & Central Asia","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.690124329978826,NA,NA,NA,NA
"145","Macao SAR","1960","MAC","East Asia & Pacific","High income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.29337837368986,NA,NA,NA,NA
