"","Code","Period","Country","Time_Span","Pov_1.90","Pov_3.20","Pov_5.50","Gini","Mean_Inc","Private_Credit","Pop_Growth","GDPpc","Region","Income_Group","Pov_1.90_IP","Pov_3.20_IP","Pov_5.50_IP","Gini_IP","log_Pov_1.90","log_Pov_3.20","log_Pov_5.50","log_Gini","log_Private_Credit","log_Mean_Inc","dlog_Pov_1.90","dlog_Pov_3.20","dlog_Pov_5.50","dlog_Gini","dlog_Private_Credit","dlog_Mean_Inc","log_ZY_1.90","log_ZY_3.20","log_ZY_5.50"
"11","ARG","4","Argentina","[1995,2000)",4.44,9.54,22.3,49.6,512.27655,21.60776,1.17436624897041,8230.98646551102,"Latin America & Caribbean","Upper middle income",4.44,9.54,22.3,49.6,1.49065437644413,2.2554934854602,3.10458667846607,3.90399083373088,3.07305250943122,6.23886461593693,0.16201719561821,0.12329935415691,0.0799750757258755,0.0160505486340615,0.0536053698411254,-0.0187628242448723,-2.18190440219217,-1.66060747855888,-1.11901019612614
"12","ARG","5","Argentina","[2000,2005)",8.3,16.74,31.54,51.44,319.208,17.734802,1.10440223793228,7597.28997670688,"Latin America & Caribbean","Upper middle income",8.3,16.74,31.54,51.44,2.11625551480255,2.81780106506133,3.45125658153489,3.94041607992936,2.87552892379901,5.76584292791823,0.125120227671684,0.112461515920227,0.0693339806137638,0.00728504923969639,-0.0395047171264423,-0.0946043376037389,-1.70899833795135,-1.18770141431806,-0.646104131885316
"13","ARG","6","Argentina","[2005,2010)",3.06,7.42,16.9,45.8,569.29815,11.19733,1.0417344604273,9403.78912577733,"Latin America & Caribbean","Upper middle income",3.06,7.42,16.9,45.8,1.11841491596429,2.00417905717929,2.82731362192903,3.82428409112014,2.41567535702381,6.34440428634698,-0.199568119767653,-0.162724401576408,-0.124788591921173,-0.023226397761845,-0.0919707133550399,0.115712271685749,-2.28427308334414,-1.76297615971086,-1.22137887727811
"14","ARG","7","Argentina","[2010,2015)",0.86,2.84,9.18,41.78,694.237025,12.59108,1.04205185110739,10527.3132400853,"Latin America & Caribbean","Upper middle income",0.86,2.84,9.18,41.78,-0.150822889734584,1.04380405217311,2.2170272046324,3.73241775612842,2.53298862674412,6.54281343677928,-0.253847561139775,-0.192075001001235,-0.122057283459326,-0.0183732669983439,0.023462653944061,0.0396818300864597,-2.48554500934762,-1.96424808571433,-1.42265080328159
"15","ARM","1","Armenia","[1980,1985)",NA,NA,NA,NA,265.43595,NA,1.49399313866666,NA,"Europe & Central Asia","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58137356864038,NA,NA,NA,NA,NA,NA,-1.52401782605181,-1.00272090241852,-0.46112361998578
"16","ARM","2","Armenia","[1985,1990)",NA,NA,NA,NA,263.4109,NA,1.47162019719338,NA,"Europe & Central Asia","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5737151703816,NA,NA,NA,NA,NA,-0.00153167965175687,-1.51687058041471,-0.995573656781426,-0.453976374348682
"17","ARM","3","Armenia","[1990,1995)",NA,NA,NA,NA,194.23555,20.5246666666667,-1.4834023554805,1238.01342938389,"Europe & Central Asia","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,3.02162741484933,5.26907159780639,NA,NA,NA,NA,NA,-0.0609287145150409,-1.15099103666711,-0.629694113033822,-0.0880968306010775
"18","ARM","4","Armenia","[1995,2000)",16.9,52.5,83.2,36.2,142.4278,6.207996,-1.22211473264353,1184.57575562783,"Europe & Central Asia","Lower middle income",16.9,52.5,83.2,36.2,2.82731362192903,3.96081316959758,4.42124734782716,3.58905911883173,1.82583813855081,4.95883520464311,NA,NA,NA,NA,-0.239157855259703,-0.0620472786326564,-0.892021774905107,-0.370724851271821,0.170872431160924
"19","ARM","5","Armenia","[2000,2005)",13.425,48.05,81.325,35.175,122.0151,7.05907,-0.580732989150405,1795.69812468135,"Europe & Central Asia","Lower middle income",13.425,48.05,81.325,35.175,2.59711864039493,3.8722421354163,4.39845347235942,3.56033560300045,1.95431331478292,4.80414480756612,-0.0460389963068199,-0.0177142068362554,-0.00455877509354945,-0.00574470316625462,0.0256950352464222,-0.0309380794153974,-0.747300217599239,-0.226003293965952,0.315593988466792
"20","ARM","6","Armenia","[2005,2010)",2.74,20.18,61.1,30.82,179.79665,12.414792,-0.760997024175805,3127.59017012435,"Europe & Central Asia","Lower middle income",2.74,20.18,61.1,30.82,1.00795792039998,3.00469201492546,4.11251186617755,3.42816382989197,2.51888866489308,5.19182649005082,-0.31783214399899,-0.173510024098168,-0.0571883212363732,-0.0264343546216965,0.112915070022031,0.0775363364969392,-1.13386922286556,-0.612572299232271,-0.0709750167995271
"21","ARM","7","Armenia","[2010,2015)",2.04,17.8,57.52,30.22,178.341925,34.16048,0.121737021309142,3546.89079537991,"Europe & Central Asia","Lower middle income",2.04,17.8,57.52,30.22,0.712949807856125,2.87919845729804,4.05213271341279,3.40850395684459,3.5310694203439,5.18370263463749,-0.0590016225087708,-0.0250987115254847,-0.0120758305529517,-0.0039319746094753,0.202436151090163,-0.00162477108266632,-1.12623131366933,-0.604934390036044,-0.0633371076033001
"22","AZE","1","Azerbaijan","[1980,1985)",NA,NA,NA,NA,471.5769,NA,1.59923649936121,NA,"Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15608218527525,NA,NA,NA,NA,NA,NA,-2.09773016744814,-1.57643324381485,-1.03483596138211
"23","AZE","2","Azerbaijan","[1985,1990)",NA,NA,NA,NA,535.2148,NA,1.6650539903673,NA,"Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.28266816164543,NA,NA,NA,NA,NA,0.0253171952740347,-2.22582357167854,-1.70452664804526,-1.16292936561251
"24","AZE","3","Azerbaijan","[1990,1995)",NA,NA,NA,NA,343.3365,4.15575,1.27756676141759,2329.46288360663,"Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,1.42449291743343,5.83871101581401,NA,NA,NA,NA,NA,-0.088791429166284,-1.74062067910702,-1.21932375547373,-0.67772647304099
"25","AZE","4","Azerbaijan","[1995,2000)",7.3,26.3,62.5,34.7,186.50275,1.8843618,0.990590622090799,1317.62647129456,"Europe & Central Asia","Upper middle income",7.3,26.3,62.5,34.7,1.98787434815435,3.26956893918372,4.13516655674236,3.54673968695281,0.633589195933754,5.22844598428347,NA,NA,NA,NA,-0.158180744299936,-0.122053006306107,-1.16995287134213,-0.648655947708843,-0.107058665276099
"26","AZE","5","Azerbaijan","[2000,2005)",0.67575,4.85,26.25,28.8,264.3415,5.520286,0.795107544375435,1977.09143560111,"Europe & Central Asia","Upper middle income",0.67575,4.85,26.25,28.8,-0.39193209382558,1.57897870494939,3.26766598903763,3.3603753871419,1.70842967054103,5.57724182782366,-0.475961288395985,-0.338118046846865,-0.173500113540945,-0.0372728599621826,0.214968094921456,0.0697591687080381,-1.52039723785678,-0.999100314223489,-0.457503031790745
"27","AZE","6","Azerbaijan","[2005,2010)",0.001,0.001,8.2,26.6,416.55725,11.740414,1.48614198588236,4525.07618512221,"Europe & Central Asia","Upper middle income",0.001,0.001,8.2,26.6,-6.90775527898214,-6.90775527898214,2.10413415427021,3.28091121578765,2.4630370778327,6.03202390714282,-1.30316463703131,-1.69734679678631,-0.232706366953485,-0.0158928342708493,0.150921481458334,0.0909564158638316,-1.94462566631463,-1.42332874268135,-0.881731460248603
"28","AZE","7","Azerbaijan","[2010,2015)",NA,NA,NA,NA,554.24375,19.94826,1.27264168288718,5927.03129430581,"Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,2.99314192148704,6.31760457193307,NA,NA,NA,NA,0.106020968730868,0.0571161329580494,-2.25272617454156,-1.73142925090828,-1.18983196847553
"29","BGD","1","Bangladesh","[1980,1985)",29.9,76.7,95.9,25.9,84.21448,7.14157,2.70947123295155,365.496463390008,"South Asia","Lower middle income",29.9,76.7,95.9,25.9,3.39785848039664,4.33990170837321,4.56330598188939,3.25424296870549,1.96593264013486,4.43336687795932,NA,NA,NA,NA,NA,NA,-0.376517957112045,0.144778966521241,0.686376248953985
"30","BGD","2","Bangladesh","[1985,1990)",31.6,75.4,94.8,27.85,83.66385,12.0045,2.65231641084484,384.900855967719,"South Asia","Lower middle income",31.6,75.4,94.8,27.85,3.45315712059287,4.32280727501391,4.55176940926098,3.32683296637329,2.48528157949307,4.42680698455834,0.0110597280392452,-0.00341888667185994,-0.00230731452568325,0.0145179995335602,0.103869787871642,-0.0013119786801953,-0.369962394591453,0.151334529041833,0.692931811474578
"31","BGD","3","Bangladesh","[1990,1995)",44.2,83.9,96.9,27.6,78.24117,15.10315,2.29260617056897,415.82800985648,"South Asia","Lower middle income",44.2,83.9,96.9,27.6,3.78872478908365,4.42962561347316,4.57367951889672,3.3178157727231,2.71490333133651,4.35979597960248,0.0671135336981572,0.0213636676918501,0.00438202192714883,-0.00180343873003768,0.045924350368688,-0.0134022009911714,-0.302871386665376,0.21842553696791,0.760022819400654
"32","BGD","4","Bangladesh","[1995,2000)",35.7,75.3,92.7,32.9,86.365085,20.69174,2.09764630940075,468.610644915987,"South Asia","Lower middle income",35.7,75.3,92.7,32.9,3.57515068878559,4.32148013480585,4.52936847257181,3.49347265777133,3.02973458681972,4.45858348533975,-0.0427148200596118,-0.0216290957334627,-0.00886220926498229,0.0351313770096443,0.0629662510966412,0.0197575011474536,-0.401723670182899,0.119573253450387,0.661170535883132
"33","BGD","5","Bangladesh","[2000,2005)",34.8,72.7,91.6,33.4,90.63949,26.48478,1.81791496649459,538.16236210516,"South Asia","Lower middle income",34.8,72.7,91.6,33.4,3.54961738678043,4.28634138453947,4.51743127168008,3.50855589998265,3.27657022837335,4.50688999004902,-0.00510666040103294,-0.00702775005327485,-0.00238744017834485,0.0030166484422657,0.0493671283107271,0.00966130094185456,-0.450045400082137,0.0712515235511493,0.612848805983894
"34","BGD","6","Bangladesh","[2005,2010)",25.7,66.3,89.3,33.2,102.6084,30.6581,1.25447612762078,663.879684401716,"South Asia","Lower middle income",25.7,66.3,89.3,33.2,3.24649099190117,4.19418989719182,4.49200148788245,3.50254987592244,3.42289690152997,4.63091980073042,-0.0606252789758509,-0.0184302974695314,-0.00508595675952623,-0.00120120481204227,0.0292653346313234,0.0248059621362801,-0.573753257801695,-0.0524563341684085,0.489140948264336
"35","BGD","7","Bangladesh","[2010,2015)",19.6,60.4,87.7,32.1,109.9132,38.7427,1.15575576750529,839.268033780147,"South Asia","Lower middle income",19.6,60.4,87.7,32.1,2.97552956623647,4.10098910494077,4.47392189937814,3.46885603013597,3.6569423509555,4.69969096338722,-0.0541922851329405,-0.0186401584502095,-0.00361591770086331,-0.00673876915729457,0.0468090898851064,0.0137542325313589,-0.642678758686485,-0.121381835053199,0.420215447379545
"36","BLR","1","Belarus","[1980,1985)",NA,NA,NA,NA,232.4191,NA,0.668986139376058,NA,"Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.44854220748708,NA,NA,NA,NA,NA,NA,-1.39026389144002,-0.868966967806739,-0.327369685373995
"37","BLR","2","Belarus","[1985,1990)",NA,NA,NA,NA,252.4434,NA,0.51795723437144,NA,"Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53118706517232,NA,NA,NA,NA,NA,0.0165289715370472,-1.47434247520543,-0.953045551572148,-0.411448269139404
"38","BLR","3","Belarus","[1990,1995)",NA,NA,NA,NA,230.6915,17.574,0.111781435268141,2815.13422474269,"Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,2.86642053707365,5.44108132011429,NA,NA,NA,NA,NA,-0.0180211490116065,-1.38037485764807,-0.859077934014788,-0.317480651582044
"39","BLR","4","Belarus","[1995,2000)",10.95,36.8,73.6,31.85,237.52485,6.388386,-0.395519141479024,2385.81654335079,"Europe & Central Asia","Upper middle income",10.95,36.8,73.6,31.85,2.39333945626251,3.60549784517489,4.29864502573483,3.46103738201817,1.85448165432557,5.47027224958014,NA,NA,NA,NA,-0.202387776549616,0.00583818589317087,-1.32717844135522,-0.805881517721929,-0.264284235289185
"40","BLR","5","Belarus","[2000,2005)",2.8,13.42,44.26,29.48,216.4222,8.147662,-0.600528470516811,3288.8546623236,"Europe & Central Asia","Upper middle income",2.8,13.42,44.26,29.48,1.02961941718116,2.59674613154354,3.7900813346229,3.38371206732114,2.09773101493172,5.37723112951093,-0.27274400781627,-0.20175034272627,-0.101712738222385,-0.0154650629394073,0.0486498721212301,-0.0186082240138429,-1.32038653954404,-0.799089615910756,-0.257492333478011
"41","BLR","6","Belarus","[2005,2010)",0.1204,1.16,9.08,28.2,367.1483,20.53244,-0.464505015621599,5114.74919247012,"Europe & Central Asia","Upper middle income",0.1204,1.16,9.08,28.2,-2.11693574610742,0.148420005118273,2.2060741926132,3.33932197794407,3.02200607443142,5.90576585362679,-0.629311032657715,-0.489665225285052,-0.31680142840194,-0.00887801787541358,0.18485501189994,0.105706944823172,-1.83596460134259,-1.31466767770931,-0.773070395276564
"42","BLR","7","Belarus","[2010,2015)",0.001,0.0804,1.62,27.22,539.87645,26.53876,-0.0679702061002098,6574.83943306565,"Europe & Central Asia","Upper middle income",0.001,0.0804,1.62,27.22,-6.90775527898214,-2.52074110279722,0.482426149244293,3.30395199722332,3.27860630588339,6.29134031708416,-0.958163906574944,-0.533832221583098,-0.344729608673782,-0.00707399614414959,0.0513200462903943,0.0771148926914739,-2.22963148502481,-1.70833456139152,-1.16673727895878
"43","BLZ","1","Belize","[1980,1985)",NA,NA,NA,NA,162.1787,32.8865,2.52839084243296,2149.8485808774,"Latin America & Caribbean","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,3.49306223921465,5.08869881369935,NA,NA,NA,NA,NA,NA,-1.02699834562037,-0.505701421987079,0.0358958604456655
"44","BLZ","2","Belize","[1985,1990)",NA,NA,NA,NA,139.1528,33.87666,2.69410998006321,2235.94118681813,"Latin America & Caribbean","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,3.52272628168926,4.93557260993977,NA,NA,NA,NA,0.00593280849492279,-0.0306252407519166,-0.878728019972886,-0.3574310963396,0.184166186093145
"45","BLZ","3","Belize","[1990,1995)",10,25.55,50.95,60.6,261.6736,37.34462,1.89213632889095,3272.31740967896,"Latin America & Caribbean","Upper middle income",10,25.55,50.95,60.6,2.30258509299405,3.24063731664971,3.93084475966873,4.10429489307527,3.62018885836564,5.56709792557855,NA,NA,NA,NA,0.0194925153352762,0.126305063127756,-1.46186978881113,-0.940572865177849,-0.398975582745105
"46","BLZ","4","Belize","[1995,2000)",14.825,31.975,56.275,56.3,267.02335,42.85288,3.39839600575201,3401.81892937992,"Latin America & Caribbean","Upper middle income",14.825,31.975,56.275,56.3,2.69631494488379,3.46495434746491,4.0302503867928,4.03069453514564,3.75777285398708,5.58733610775996,0.0787459703779486,0.0448634061630385,0.0198811254248124,-0.0147200715859247,0.0275167991242886,0.00404763643628243,-1.53047455352376,-1.00917762989047,-0.467580347457727
"47","BLZ","5","Belize","[2000,2005)",NA,NA,NA,NA,309.877,56.91448,2.88301889758888,4067.67164684929,"Latin America & Caribbean","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,4.04154979030392,5.73617544454994,NA,NA,NA,NA,0.0567553872633675,0.0297678673579945,-1.67933085458305,-1.15803393094976,-0.616436648517019
"48","BLZ","6","Belize","[2005,2010)",NA,NA,NA,NA,278.3623,61.06398,2.56887136371602,4361.250920766,"Latin America & Caribbean","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,4.1119221669709,5.62892350262393,NA,NA,NA,NA,0.014074475333395,-0.0214503883852005,-1.57109308848133,-1.04979616484804,-0.5081988824153
"49","BLZ","7","Belize","[2010,2015)",NA,NA,NA,NA,284.617425,58.31832,2.27189267298599,4342.36213177649,"Latin America & Caribbean","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,4.06591628070112,5.651145910064,NA,NA,NA,NA,-0.00920117725395464,0.00444448148801371,-1.59419590618452,-1.07289898255124,-0.531301700118491
"50","BOL","1","Bolivia","[1980,1985)",NA,NA,NA,NA,235.98775,11.72492,2.13579921039899,1520.70687453758,"Latin America & Caribbean","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,2.46171649128135,5.46377989689875,NA,NA,NA,NA,NA,NA,-1.40407188521466,-0.882774961581372,-0.341177679148628
"51","BOL","2","Bolivia","[1985,1990)",NA,NA,NA,NA,231.1186,12.172018,1.99266181229844,1308.04543654384,"Latin America & Caribbean","Lower middle income",NA,NA,NA,NA,NA,NA,NA,NA,2.49913971083744,5.44293099868031,NA,NA,NA,NA,0.00748464391121919,-0.00416977964368801,-1.38608640871342,-0.864789485080133,-0.323192202647388
"52","BOL","3","Bolivia","[1990,1995)",7.1,23.9,49.7,42,240.96605,31.87208,1.9696843141234,1410.30651836683,"Latin America & Caribbean","Lower middle income",7.1,23.9,49.7,42,1.96009478404727,3.17387845893747,3.90600493310258,3.73766961828337,3.4617303914392,5.48465605219806,NA,NA,NA,NA,0.192518136120351,0.00834501070355032,-1.42701314622678,-0.90571622259349,-0.364118940160745
"53","BOL","4","Bolivia","[1995,2000)",22.3,35.15,53.7,58.15,258.2236,53.32216,1.95996189312776,1573.33623911578,"Latin America & Caribbean","Lower middle income",22.3,35.15,53.7,58.15,3.10458667846607,3.55962461825667,3.98341300151482,4.06302587896467,3.97635200461753,5.55382587624957,0.228898378883761,0.0771492318638418,0.0154816136824472,0.0650712521362609,0.102924322635666,0.0138339648103036,-1.49641502916286,-0.975118105529575,-0.433520823096831
"54","BOL","5","Bolivia","[2000,2005)",22.45,36.35,58.05,58.325,241.544,50.90484,1.83220337758679,1633.50880465694,"Latin America & Caribbean","Lower middle income",22.45,36.35,58.05,58.325,3.11129061418826,3.59319420397953,4.0613047081439,4.06603081790749,3.92995800744451,5.48705165111418,0.00134078714443806,0.00671391714457084,0.0155783413258163,0.000600987788564034,-0.00927879943460424,-0.0133548450270787,-1.4302070611473,-0.908910137514009,-0.367312855081265
"55","BOL","6","Bolivia","[2005,2010)",13.94,25.16,44.18,53.94,312.26815,36.80864,1.69060617238246,1829.90530348008,"Latin America & Caribbean","Lower middle income",13.94,25.16,44.18,53.94,2.63476240533238,3.22525543183224,3.78827219799197,3.98787231771158,3.60573260022646,5.74386227381761,-0.0953056417711771,-0.0735877544294577,-0.054606502030386,-0.0156317000391819,-0.0648450814436096,0.0513621245406854,-1.68559106206909,-1.1642941384358,-0.622696856003057
"56","BOL","7","Bolivia","[2010,2015)",7.05,13.325,26.875,47.025,391.3074,40.68172,1.58227189260842,2140.69656690657,"Latin America & Caribbean","Lower middle income",7.05,13.325,26.875,47.025,1.95302761682418,2.58964197005191,3.29119648644783,3.85067937518709,3.70577885150581,5.96949344035879,-0.13634695770164,-0.127122692356066,-0.0994151423088288,-0.027438588504898,0.0200092502558697,0.0451262333082356,-1.91058725090284,-1.38929032726956,-0.847693044836813
"57","BRA","1","Brazil","[1980,1985)",24.45,43.05,63.375,58.45,228.9645,26.5927,2.30530720659987,7690.13409944595,"Latin America & Caribbean","Upper middle income",24.45,43.05,63.375,58.45,3.19663021592088,3.76236223087374,4.14906946191135,4.06817168791808,3.28063674203295,5.43356696970305,NA,NA,NA,NA,NA,NA,-1.37368126996499,-0.8523843463317,-0.310787063898956
"58","BRA","2","Brazil","[1985,1990)",17.96,33.4,52.8,59.7,312.8009,23.19546,1.98971266893433,8258.57691723206,"Latin America & Caribbean","Upper middle income",17.96,33.4,52.8,59.7,2.88814706287405,3.50855589998265,3.96651119071222,4.08933202039856,3.14395656986737,5.74556688590487,-0.0616966306093655,-0.050761266178217,-0.0365116542398263,0.00423206649609575,-0.0273360344331159,0.0623999832403634,-1.68872229593798,-1.1674253723047,-0.625828089871952
"59","BRA","3","Brazil","[1990,1995)",20.8,37.3666666666667,57.6,57.9333333333333,281.02125,31.67914,1.69988225052376,8020.23005123052,"Latin America & Caribbean","Upper middle income",20.8,37.3666666666667,57.6,57.9333333333333,3.03495298670727,3.62077904141,4.05352256770185,4.05929292416318,3.45565842011311,5.63843028925029,0.0293611847666438,0.02244462828547,0.0174022753979259,-0.00600781924707494,0.0623403700491467,-0.0214273193309161,-1.58158536972471,-1.06028844609142,-0.51869116365868
"60","BRA","4","Brazil","[1995,2000)",13.46,26.94,45.38,59.58,370.5705,37.55674,1.57139665354348,8620.1864448715,"Latin America & Caribbean","Upper middle income",13.46,26.94,45.38,59.58,2.59972232421658,3.29361217098222,3.8150714793517,4.08731994728514,3.62585285611101,5.91504371003536,-0.0870461324981381,-0.0654333740855573,-0.04769021767003,0.00560540462439096,0.0340388871995809,0.0553226841570146,-1.85793692446686,-1.33664000083357,-0.795042718400826
"61","BRA","5","Brazil","[2000,2005)",10.675,22.725,40.925,57.65,411.8456,28.86398,1.34084235964411,8940.55129244787,"Latin America & Caribbean","Upper middle income",10.675,22.725,40.925,57.65,2.36790455911469,3.12346564006354,3.7117411232572,4.05439024671507,3.36259445097532,6.02064852182891,-0.0463635530203788,-0.0340293061837351,-0.0206660712188994,-0.00658594011401377,-0.0526516810271389,0.0211209623587106,-1.96380393186203,-1.44250700822874,-0.900909725795998
"62","BRA","6","Brazil","[2005,2010)",6.72,15.7,32.14,54.9,448.8351,41.46068,1.07049956340146,10139.4467667262,"Latin America & Caribbean","Upper middle income",6.72,15.7,32.14,54.9,1.90508815453506,2.75366071235426,3.47010136030937,4.00551334851548,3.72474550822383,6.10665555970651,-0.092563280915926,-0.0739609855418561,-0.0483279525895664,-0.00977537963991662,0.0724302114497031,0.0172014075755186,-2.04672100825644,-1.52542408462316,-0.983826802190414
"63","BRA","7","Brazil","[2010,2015)",3.775,8.525,20.55,52.475,562.7225,66.94994,0.933963112525921,11648.7817661996,"Latin America & Caribbean","Upper middle income",3.775,8.525,20.55,52.475,1.32840038270099,2.14300302316958,3.02286094094224,3.9603368657067,4.20394517594559,6.33278661142266,-0.115337554366814,-0.122131537836936,-0.0894480838734245,-0.00903529656175754,0.095839933544352,0.0452262103432298,-2.2738895031667,-1.75259257953341,-1.21099529710067
"64","BGR","1","Bulgaria","[1980,1985)",NA,NA,NA,NA,605.5729,NA,0.303017852757396,3448.31349552065,"Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.40617495211273,NA,NA,NA,NA,NA,NA,-2.34762805145843,-1.82633112782514,-1.2847338453924
"65","BGR","2","Bulgaria","[1985,1990)",NA,NA,NA,NA,688.835,NA,-0.187709950062901,4184.09520922854,"Europe & Central Asia","Upper middle income",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53500176483071,NA,NA,NA,NA,NA,0.0257653625435976,-2.47815717486383,-1.95686025123054,-1.4152629687978
"66","BGR","3","Bulgaria","[1990,1995)",0.001,0.001,0.7,30.7,591.54395,59.572025,-1.00105631618586,3772.61075449439,"Europe & Central Asia","Upper middle income",0.001,0.001,0.7,30.7,-6.90775527898214,-6.90775527898214,-0.356674943938732,3.42426265459315,4.08718608468378,6.38273598327859,NA,NA,NA,NA,NA,-0.0304531563104238,-2.29696093445204,-1.77566401081875,-1.23406672838601
